地区,地下含盐水面积/km²,厚度/m,孔隙度/%,CO2密度/kg/m³,CO2饱和度,深部含水层储量/10^8m³
松辽盆地,260000.0000,380.0000,10.0000,700.0000,0.5887,44494.2000
吐哈盆地,,,15.0000,725.0000,0.4615,0.5350
塔里木盆地,,,15.0000,725.0000,0.4615,56.0000
鄂尔多斯盆地,282000.0000,121.0000,14.6666,725.0000,0.4686,1.3000
准噶尔盆地,61830.0000,40.3333,15.0000,725.0000,0.4615,24938.1000
柴达木盆地,,,16.8067,750.0000,0.4259,175659.0000
四川盆地,,,4.4100,731.0267,0.8454,28.0000
潜江凹陷,1630.0000,,16.0000,725.0000,0.3000,117.0000
江陵凹陷,2500.0000,,15.0000,725.0000,0.4615,250.0000
华北平原,7326.0000,,20.5000,725.0000,0.3636,76.2057
新疆地区,,,15.0000,725.0000,0.4615,434.1500
内蒙古地区,,,17.5000,725.0000,0.4132,292.5242
渤海湾盆地,,,17.5000,725.0000,0.4132,209.0337
山东半岛沿海地区,1000~1500,,17.5000,725.0000,0.4132,23.3900
江汉盆地,1630.0000,2250.0000,17.5000,725.0000,0.4132,36675.0000
鄱阳盆地,10680.0000,,16.8300,720.5400,0.4254,1068.0000
清江盆地,2780.0000,,14.5900,596.5400,0.4702,278.0000
吉泰盆地,2570.0000,,11.2400,610.1600,0.5520,257.0000
锦江盆地,1870.0000,,9.6800,360.5400,0.5989,187.0000
信江盆地,2166.0000,,8.9800,595.4800,0.6224,216.6000
抚州盆地,2880.0000,,11.9800,617.6000,0.5320,288.0000
赣州盆地,1570.0000,,7.3600,536.8000,0.6848,157.0000
版石盆地,110.0000,,8.1400,287.9900,0.6532,11.0000
会昌盆地,240.0000,,11.2900,640.8400,0.5506,24.0000
