地区,地下含盐水面积/km²,厚度/m,孔隙度/%,CO2密度/kg/m³,CO2饱和度,深部含水层储量/10^8m³,束缚气储存量_吨
松辽盆地,260000.0000,380.0,10.0,700.0,0.5887,44494.2,124583760000.0
吐哈盆地,,,15.0,725.0,0.4615,0.535,2327250.0
塔里木盆地,,,15.0,725.0,0.4615,56.0,243600000.0
鄂尔多斯盆地,282000.0000,121.0,14.6666,725.0,0.4686,1.3,5529308.200000001
准噶尔盆地,61830.0000,40.3333,15.0,725.0,0.4615,24938.1,108480735000.0
柴达木盆地,,,16.8067,750.0,0.4259,175659.0,885674434590.0
四川盆地,,,4.41,731.0267,0.8454,28.0,36106870.7664
潜江凹陷,1630.0000,,16.0,725.0,0.3,117.0,542880000.0
江陵凹陷,2500.0000,,15.0,725.0,0.4615,250.0,1087500000.0
华北平原,7326.0000,,20.5,725.0,0.3636,76.2057,453042886.49999994
新疆地区,,,15.0,725.0,0.4615,434.15,1888552500.0
内蒙古地区,,,17.5,725.0,0.4132,292.5242,1484560315.0
渤海湾盆地,,,17.5,725.0,0.4132,209.0337,1060846027.5
山东半岛沿海地区,1000~1500,,17.5,725.0,0.4132,23.39,118704250.0
江汉盆地,1630.0000,2250.0,17.5,725.0,0.4132,36675.0,186125625000.0
鄱阳盆地,10680.0000,,16.83,720.54,0.4254,1068.0,5180521199.039999
清江盆地,2780.0000,,14.59,596.54,0.4702,278.0,967831268.32
吉泰盆地,2570.0000,,11.24,610.16,0.552,257.0,705022795.52
锦江盆地,1870.0000,,9.68,360.54,0.5989,187.0,261054034.56
信江盆地,2166.0000,,8.98,595.48,0.6224,216.6,463299637.056
抚州盆地,2880.0000,,11.98,617.6,0.532,288.0,852347289.6
赣州盆地,1570.0000,,7.36,536.8,0.6848,157.0,248113254.39999998
版石盆地,110.0000,,8.14,287.99,0.6532,11.0,10314649.84
会昌盆地,240.0000,,11.29,640.84,0.5506,24.0,69456802.56
总计,,,,,,,1320546164928.8623
