二级地下水系统,代号_二级,三级地下水系统,代号_三级,四级地下水系统,代号_四级
额尔齐斯河水系,IA,额尔齐斯河上游,IA01,额河上游山区,IA0101
额尔齐斯河水系,IA,额尔齐斯河上游,IA01,额河上游平原区,IA0102
额尔齐斯河水系,IA,布尔津河,IA02,布尔津河山区,IA0201
额尔齐斯河水系,IA,布尔津河,IA02,布尔津河平原区,IA0202
额尔齐斯河水系,IA,哈巴河,IA03,哈巴河山区,IA0301
额尔齐斯河水系,IA,哈巴河,IA03,哈巴河平原区,IA0302
额尔齐斯河水系,IA,吉木乃小河流,IA04,吉木乃山区,IA0401
额尔齐斯河水系,IA,吉木乃小河流,IA04,吉木乃平原区,IA0402
乌伦古湖水系,IB,乌伦古河,IB01,乌河山区,IB0101
乌伦古湖水系,IB,乌伦古河,IB01,乌河平原区,IB0102
乌伦古湖水系,IB,乌伦古湖西部,IB02,乌西山区,IB0201
乌伦古湖水系,IB,乌伦古湖西部,IB02,乌西谷地,IB0202
乌伦古湖水系,IB,乌伦古湖盆,IB03,,
玛纳斯湖水系,IC,天山北麓东段小河流,IC01,天山东段山区,IC0101
玛纳斯湖水系,IC,天山北麓东段小河流,IC01,天山东段平原区,IC0102
玛纳斯湖水系,IC,头屯河-三屯河,II,屯河山区,II01
玛纳斯湖水系,IC,头屯河-三屯河,II,屯河平原区,II02
玛纳斯湖水系,IC,玛纳斯河,IC03,玛河山区,IC0301
玛纳斯湖水系,IC,玛纳斯河,IC03,玛河平原区,IC0302
玛纳斯湖水系,IC,金沟河-巴音沟河,IC04,金沟河山区,IC0401
玛纳斯湖水系,IC,金沟河-巴音沟河,IC04,金沟河平原区,IC0402
玛纳斯湖水系,IC,白杨河,IC05,白杨河山区,IC0501
玛纳斯湖水系,IC,白杨河,IC05,白杨河平原区,IC0502
玛纳斯湖水系,IC,和布克河,IC06,和布克河山区,IC0601
玛纳斯湖水系,IC,和布克河,IC06,和布克河谷地,IC0602
玛纳斯湖水系,IC,三个泉子,IC07,三个泉子山区,IC0701
玛纳斯湖水系,IC,三个泉子,IC07,三个泉子平原区,IC0702
玛纳斯湖水系,IC,北塔山,IC08,,
玛纳斯湖水系,IC,卡拉麦里山,IC09,卡拉麦里山山区,IC0901
玛纳斯湖水系,IC,卡拉麦里山,IC09,卡拉麦里山平原区,IC0902
玛纳斯湖水系,IC,玛纳斯湖-古尔班通古特沙漠三级系统,IC10,,
艾比湖水系,ID,奎屯河-古尔图河,ID01,奎屯河山区,ID0101
艾比湖水系,ID,奎屯河-古尔图河,ID01,奎屯河平原区,ID0102
艾比湖水系,ID,精河-大河沿子河,ID02,精河山区,ID0201
艾比湖水系,ID,精河-大河沿子河,ID02,精河平原区,ID0202
艾比湖水系,ID,博乐河,ID03,博乐河山区,ID0301
艾比湖水系,ID,博乐河,ID03,博乐河平原区,ID0302
艾比湖水系,ID,阿拉山口,ID04,阿拉山口山区,ID0401
艾比湖水系,ID,阿拉山口,ID04,阿拉山口平原区,ID0402
艾比湖水系,ID,奎屯河北岸,ID05,奎河北岸山区,ID0501
艾比湖水系,ID,奎屯河北岸,ID05,奎河北岸平原区,ID0502
艾比湖水系,ID,艾比湖盆,ID06,,
艾比湖水系,ID,赛里木湖,ID07,,
