钻孔编号,位置,孔深(米),承压含水层_埋藏深度(米),岩性,泸水管下入深度(米),水位(米),自流量(公升/秒)
73,"乌苏县红光农场二大队",261.4,"109.5—115.6",细沙,"109.5—115.6",,0
73,"乌苏县红光农场二大队",261.4,"130.1—138.4",細沙,"156.0—167.0",,0
73,"乌苏县红光农场二大队",261.4,"156.0—167.0",細沙,"245.0—260.95",,0
73,"乌苏县红光农场二大队",261.4,"245.0—261.4",細沙,,,0
94,"共青团农场生产五队",202.09,"138.62—148.01",细粉沙夹亚砂土,"119.11—186.04",,3.65
94,"共青团农场生产五队",202.09,"158.14—170.4",细粉沙,"119.11—186.04",,3.65
94,"共青团农场生产五队",202.09,"171.52—187.32",细粉沙夹砾石,"119.11—186.04",,3.65
119,"下野地七房十九团五队",283.83,"152.13—160.0",细沙,,,4.2
119,"下野地七房十九团五队",283.83,"160.0—198.50",亚黏土与细沙互层,,,4.2
119,"下野地七房十九团五队",283.83,"198.50—203.87",细粉沙薄层亚黏土,,,4.2
119,"下野地七房十九团五队",283.83,"203.87—222.40",粉沙亚黏土互层,,,4.2
119,"下野地七房十九团五队",283.83,"274.40—283.83",细粉沙,,,4.2
92,"农七师二管理处",221.25,"103.66—112.00",粉细沙,"104.77—132.02",,5.04
92,"农七师二管理处",221.25,"117.09—129.00",粉细沙,"170.97—198.13",,5.04
92,"农七师二管理处",221.25,"170.97—183.00",粉细沙,"205.56—213.45",,5.04
92,"农七师二管理处",221.25,"205.05—211.51",粉细沙,"217.40—221.25",,5.04
92,"农七师二管理处",221.25,"220.00—221.25",粉细沙,,,5.04
118,"七师二十一团农场七队民点",201.00,"95.56—118.10",粉细沙,"101.81—117.84",,2.76
118,"七师二十一团农场七队民点",201.00,"125.30—130.08",粉细沙,"125.30—133.33",,2.76
118,"七师二十一团农场七队民点",201.00,"132.13—135.00",粉细沙,"195.16—157.04",,2.76
118,"七师二十一团农场七队民点",201.00,"154.83—155.83",粉细沙,"164.96—201.00",,2.76
118,"七师二十一团农场七队民点",201.00,"163.34—170.68",粉细沙,,,2.76
118,"七师二十一团农场七队民点",201.00,"176.29—182.0",粉细沙,,,2.76
118,"七师二十一团农场七队民点",201.00,"185.00—201.00",粉细沙,,,2.76
138,"炮台农场场部",200.8,"98.66—109.81",粉粗沙,"98.66—161.32",+8.85,11.6
138,"炮台农场场部",200.8,"113.14—129.11",中粗沙,"98.66—161.32",+8.85,11.6
138,"炮台农场场部",200.8,"156.64—161.32",粗沙,"98.66—161.32",+8.85,11.6
206,"八农试验场场部",205.14,"126.77—162.27",沙,"159.54—164.04",+16,11.595
206,"八农试验场场部",205.14,"170.45—202.15",粉沙,"172.02—201.36",+16,11.595
263,奇台县北塔桥,128.6,"113.50—115.40",粗沙,"112.05—116.30",+13.2,10.82
