钻孔编号,位置,孔深(米),孔内含水层_埋藏深度(米),孔内含水层_岩性名称,滤水管下入深度(米),水位(米),抽水及输水试验资料_降深(米),抽水及输水试验资料_涌水量(公升/秒),抽水及输水试验资料_渗透系数(米/昼夜),单孔允许开采量(公升/秒)
60,精河地区机场一道班,89.37,40.85—53.23,砂砾石夹薄层黏土,40.57—54.9,+2.23,10.17,11.797,12.544,8.143
60,精河地区机场一道班,89.37,59.46—83.93,砂砾石夹多层黏土及粉土,59.55—84.34,+6.075,5.109,6.143,6.744,8.143
53,精河地区沙山子农场五队,94.37,61.25—65.51,砂石,62.05—65.80,+16.55,16.20,21.403,8.708,16.20
53,精河地区沙山子农场五队,94.37,68.40—72.52,砂砾石,62.05—65.80,+16.55,16.20,21.403,8.708,16.20
53,精河地区沙山子农场五队,94.37,74.02—85.42,砂石,62.05—65.80,+16.55,16.20,21.403,8.708,16.20
89,乌苏县四方公社12队,150.29,95.00—113.01,砂砾石,95—137,+12.96,,,,17.6
89,乌苏县四方公社12队,150.29,128.60—157.00,砂石,95—137,+12.96,,,,17.6
97,乌苏县西湖公社,84.33,48—54,沙砾石,48—65,,,,,10
97,乌苏县西湖公社,84.33,54.0—85.0,粉砂,48—65,,,,,10
131,八钢廿七团三分场二连,72.27,47.45—70.21,砂砾石夹亚砂土及砂砾,46.25—65.71,,,,,4.6
149,蘑菇湖农一师连,192.50,58.60—118.50,砂砾石,58.6—183.0,,,,,56
149,蘑菇湖农一师连,192.50,148.00—161.00,砂砾石,58.6—183.0,,,,,56
149,蘑菇湖农一师连,192.50,174.00—183.00,卵石,58.6—183.0,,,,,56
163,石总场一分场五连,121.38,68.57—81.04,卵砾石,68—108,,,,,23.65
163,石总场一分场五连,121.38,89.90—96.00,卵砾石,68—108,,,,,23.65
163,石总场一分场五连,121.38,99.60—108.66,卵石,68—108,,,,,23.65
176,苇湖农场一师七团七一连,101.00,74.00—77.30,沙砾石,70.75—99.32,,,,,16
176,苇湖农场一师七团七一连,101.00,92.70—101.00,沙砾石,70.75—99.32,,,,,16
216,阜康县阜北农场,113.70,24.50—42.93,砂砾石,24.82—43.67,+6.5,,,,12.2
216,阜康县阜北农场,113.70,63.22—77.44,砂砾石,64.07—78.58,+6.5,,,,12.2
227,阜北农场九沟水源地,82.00,20.97—33.22,砂砾石,20.97—65.00,+2.85,4.46,55.50,,
227,阜北农场九沟水源地,82.00,37.92—44.00,粗砂,20.97—65.00,+2.85,4.46,55.50,,
227,阜北农场九沟水源地,82.00,50.70—65.00,砂砾石,20.97—65.00,+2.85,4.46,55.50,,
227,阜北农场九沟水源地,82.00,72.00—78.70,粉砂,20.97—65.00,+2.85,4.46,55.50,,
249,甘家湖苇场下新湖,98.48,44.72—84.00,粉砂,83.28—88.96,+6.08,5.70,8.207,,8.207
249,甘家湖苇场下新湖,98.48,84.00—89.35,中砂,83.28—88.96,+6.08,5.70,8.207,,8.207
