系统名称,计算区面积(km²),第四系浅层水(10⁸m³),岩溶裂隙水(10⁸m³),基岩裂隙水(10⁸m³),合计(10⁸m³)
鸭绿江地下水系统,6527,0.8934,0.69,12.8,14.3834
辽东半岛诸河流域地下水系统,24013,2.4868,1.33,28.77,32.5868
辽东山地地下水系统,14076,0.9236,4,16.93,21.8536
下辽河平原地下水系统,11664,43.2505,—,—,43.2505
辽西山地丘陵诸河地下水系统Ⅲ,11383,1.0909,1.07,6.77,8.9309
滦河地下水系统,6867,10.4147,—,—,10.4147
潮白河—蓟运河地下水系统,7417,11.3827,1.0247,—,12.4074
大清河—子牙河地下水系统,17107,10.448,—,—,10.458
黄河地下水系统,24317,21.1719,—,—,21.1719
淄河—潍河地下水系统,8941,9.3324,0.0829,0.1326,9.5479
胶莱盆地地下水系统,8417,,,,
胶东低山丘陵北坡地下水系统,9008,,,,
胶东低山丘陵南坡地下水系统,11534,,,,
合计,161271,128.9551,8.3651,71.7136,209.0337
